ID,VK Group ID,Название,Screen Name,Город,Подписчики,Контакты,Ссылка
1,227353132,"Котоприют Багира  г.Сарапул","club227353132","Сарапул",398,"(https://vk.com/id352972764), Администратор   (https://vk.com/id141294106)","https://vk.com/club227353132"
168,37755118,"МОО КЛС КОВЧЕГ г. Сарапула","klub_kovcheg","Сарапул",381,"Админ 89128558165 Lurdes67@yandex.ru (https://vk.com/id12618657), Руководитель  +7 (912) 754-71-13 sarapul.nazarova@yandex.ru (https://vk.com/id216979283)","https://vk.com/klub_kovcheg"
444,106335732,"Магазин зоотоваров ""Котопес"" гор. Сарапул","zookotopes_sarapul","Сарапул",366,"Руководитель    (https://vk.com/id220762376)","https://vk.com/zookotopes_sarapul"
17,50826634,"Крышки Добрышки Сарапул","sarapul_kryshkadobryshka","Сарапул",354,"Автор проекта   (https://vk.com/id458386478), Главный по всем вопросам   (https://vk.com/id81306887)","https://vk.com/sarapul_kryshkadobryshka"
194,221871893,"Зоомагазин Лапки-Царапки. Сарапул","lapcicarapki","Сарапул",349,"","https://vk.com/lapcicarapki"
505,232830068,"Groom в Краснодаре | Стрижка собак и кошек","krasnodar_groom","Сарапул",344,"","https://vk.com/krasnodar_groom"
503,232332823,"Groom в Трехгорке | Груминг салон в Москве","groom_trekhgorka","Сарапул",305,"","https://vk.com/groom_trekhgorka"
496,199446235,"Биоцентр Сарапул","biocentrsarapul","Сарапул",302,"","https://vk.com/biocentrsarapul"
396,202466379,"Нижнее бельё |Triumph| Сарапул","triumph_shop_sarapul","Сарапул",263,"(https://vk.com/id628621822)","https://vk.com/triumph_shop_sarapul"
504,232830253,"Groom в Лазаревском | Стрижка собак и кошек","groom_lazarevskoe","Сарапул",255,"","https://vk.com/groom_lazarevskoe"
397,223362566,"Парикмахерская МК | Сарапул","mkparikmahersarapul","Сарапул",218,"(https://vk.com/id445008923)","https://vk.com/mkparikmahersarapul"
199,212619527,"Сарапульский Завод Растительных Масел | Рапс","18szrm","Сарапул",189,"(https://vk.com/id708792765)","https://vk.com/18szrm"
14,197636748,"АНО Зоопомощь","ano_pethelp","Сарапул",136,"Директор 79042493691 anton@dvinyaninov.ru (https://vk.com/id81306887)","https://vk.com/ano_pethelp"
8,225991940,"Отлов Бездомных Животных Сарапул","club225991940","Сарапул",106,"(https://vk.com/id34384734)","https://vk.com/club225991940"
502,232770004,"Academy GROOM | Санкт-Петербург","academy_piter","Сарапул",80,"","https://vk.com/academy_piter"
501,228451720,"Груминг «Шик и шерсть» | Сарапул","shikisherst","Сарапул",73,"(https://vk.com/id379173834)","https://vk.com/shikisherst"
491,154909326,"Ветеринарный кабинет, ветеринарная аптека","club154909326","Сарапул",72,"(https://vk.com/id165118665)","https://vk.com/club154909326"
13,39610385,"Помощь бездомным животным","club39610385","Сарапул",59,"(https://vk.com/id47496539), Администратор   (https://vk.com/id98132044)","https://vk.com/club39610385"
437,224479623,"Поиск потерянных животных","club224479623","Сарапул",51,"(https://vk.com/id373813292)","https://vk.com/club224479623"
176,213436370,"ГАВстиница","club213436370","Сарапул",47,"(https://vk.com/id730915687)","https://vk.com/club213436370"
202,100161655,"Сытый Кот "" Сарапул ""","club100161655","Сарапул",40,"(https://vk.com/id139565293), Администратор    (https://vk.com/id181243255)","https://vk.com/club100161655"
453,188758347,"Ветеринарный врач Настя","club188758347","Сарапул",35,"","https://vk.com/club188758347"
388,79706136,"Отдам питомца в хорошие руки ( Сарапул )","club79706136","Сарапул",35,"( Зам админа )    (https://vk.com/id243740090)","https://vk.com/club79706136"
415,219356554,"чЁ мутишь?","chemutish","Сарапул",25,"","https://vk.com/chemutish"
